name,year,citationcount,affiliation
Kwan-Liu Ma,2013,17,University of California-Davis
William J. Weiland,1993,28,"Department of Computer Science, Human-Computer Interaction Laboratory and Institute for Systems Research, University of Maryland, College Park, MD 20742, U.S.A"
Ben Shneiderman,1993,28,"University of Maryland, College Park, MD 20742, U.S.A"
Weiwei Cui,2011,466,"Hong Kong University of Science and Technology, Hong Kong, China"
Shixia Liu,2011,466,Microsoft Research Asia
Li Tan,2011,466,Microsoft Research Asia
Conglei Shi,2011,466,Hong Kong University of Science and Technology
Yangqiu Song,2011,466,Microsoft Research Asia
Zekai J Gao,2011,466,"Zhejiang University, Hangzhou, China"
Xin Tong,2011,466,Microsoft Research Asia
Huamin Qu,2011,466,Hong Kong University of Science and Technology
Ben Shneiderman,1981,30,"Department of Computer Science, University of Maryland, College Park, MD 20742, U.S.A."
Runzhen Huang,2003,115,"Dept. of Comput. Sci., Univ. of California, Davis, CA, USA|c|"
Kwan-Liu Ma,2003,115,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Daniela K. Busse,2013,23,"Samsung R&D Research Center, San Jose, USA"
Alan Borning,2013,23,"University of Washington, Seattle, USA"
Samuel Mann,2013,23,"Otago Polytechnic, Dunedin, New Zealand"
Tad Hirsch,2013,23,"University of Washington, Seattle, USA"
Lisa P. Nathan,2013,23,"University of British Columbia, Vancouver, Canada"
Andrea Grimes Parker,2013,23,"Northeastern University, College Park, USA"
Ben Shneiderman,2013,23,"University of Maryland, College Park, USA"
Bryan Nunez,2013,23,"Witness Org, Brooklyn, USA"
Peter Pirolli,2010,51,Palo Alto Research Center
Jenny Preece,2010,51,University of Maryland
Ben Shneiderman,2010,51,University of Maryland
Zhicheng Liu,2008,216,Georgia Institute of Technology
Nancy Nersessian,2008,216,Georgia Institute of Technology
John Stasko,2008,216,Georgia Institute of Technology
Gary Marchionini,2000,18,"Univ. of North Carolina, Chapel Hill"
carol a hert,2000,18,"Syracuse Univ., Syracuse, NY"
Liz Liddy,2000,18,"Syracuse Univ., Syracuse, NY"
Ben Shneiderman,2000,18,"Univ. of Maryland, College Park"
Jinwook Seo,2005,247,"Department of Computer Science, University of Maryland, College Park, MD and Human-Computer Interaction Lab, Institute for Advanced Computer Studies, University of Maryland, College Park, MD"
Ben Shneiderman,2005,247,"Department of Computer Science, Univ. of Maryland and Human-Computer Interaction Lab, Institute for Advanced Computer Studies, Univ. of Maryland and Inst. for Sys. Res., Univ. of Maryland, College ..."
Chris Muelder,2010,33,"Comput. Sci. Dept., Univ. of California Davis, Davis, CA, USA|c|"
Thomas Provan,2010,33,"Univ Calif Davis, Davis, CA 95616 USA"
Kwan-Liu Ma,2010,33,"Univ Calif Davis, Davis, CA 95616 USA"
Alberto Boschetti,2011,41,"University of Brescia NTW group Brescia, Italy"
Luca Salgarelli,2011,41,"University of Brescia NTW group Brescia, Italy"
Chris Muelder,2011,41,"University of California Davis VIDI Lab Davis, CA"
Kwan-Liu Ma,2011,41,"University of California Davis VIDI Lab Davis, CA"
Harry Hochheiser,2010,19,University of Pittsburgh
Ben Shneiderman,2010,19,University of Maryland
Vinit Jain,1994,33,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research, University of Maryland, College Park, MD"
Ben Shneiderman,1994,33,"Institute for Systems Research, University of Maryland, College Park, MD"
Ben Shneiderman,1978,25,"Univ. of Maryland, College Park"
Irina Ceaparu,2004,18,"Department of Computer Science and Human Computer Interaction Laboratory, University of Maryland, College Park, MD"
Ben Shneiderman,2004,18,"Department of Computer Science and Human Computer Interaction Laboratory, University of Maryland, College Park, MD"
Richard May,2010,30,"Pacific Northwest National Laboratory, Richland, WA"
Pat Hanrahan,2010,30,"Stanford University, Stanford, CA"
Daniel A. Keim,2010,30,"University of Konstanz, Konstanz, Germany"
Ben Shneiderman,2010,30,"University of Maryland, College Park, MD"
Stuart K. Card,2010,30,"Stanford University, Stanford, CA"
Christopher Ahlberg,1994,1519,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research, University of Maryland, College Park, MD"
Ben Shneiderman,1994,1519,"Department of Computer Science, Human-Computer Interaction Laboratory & Institute for Systems Research University of Maryland, College Park, MD"
Maryam Booshehrian,2012,92,"School of Computing Science, Simon Fraser University"
Torsten Möller,2012,92,"School of Computing Science, Simon Fraser University"
Randall M. Peterman,2012,92,"School of Resource and Environmental Management, Simon Fraser University"
Tamara Munzner,2012,92,"Department of Computer Science, University of British Columbia"
Ben Shneiderman,2012,31,"University of Maryland, College Park, MD"
Cody Dunne,2012,31,"University of Maryland, College Park, MD"
Tom Di Persio,1980,23,"Computer Science Department, University of Maryland, University of Maryland, College Park, MD 20742, U.S.A."
Dan Isbister,1980,23,"Computer Science Department, University of Maryland, University of Maryland, College Park, MD 20742, U.S.A."
Ben Shneiderman,1980,23,"Computer Science Department, University of Maryland, University of Maryland, College Park, MD 20742, U.S.A."
Chris Bryan,2013,4,"University of California, Davis, California"
Kwan-Liu Ma,2013,4,"University of California, Davis, California"
Yang-Chih Fu,2013,4,"Institute of Sociology, Academia Sinica, Taipei City, Taiwan"
John Gehl,2000,0,
Ben Shneiderman,2000,0,"University of Maryland, College Park, MD"
Tamara Munzner,2011,21,University of British Columbia
Aaron Barsky,2011,21,University of British Columbia
Matt Williams,2011,21,University of British Columbia
Wei-Hsien Hsu,2013,21,"University of California, Davis"
Yubo Zhang,2013,21,"University of California, Davis"
Kwan-Liu Ma,2013,21,"University of California, Davis"
Hongfeng Yu,2010,272,Sandia National Laboratories
Chaoli Wang,2010,272,Michigan Technological University
Ray W Grout,2010,272,Sandia National Laboratories
Jacqueline H Chen,2010,272,Sandia National Laboratories
Kwan-Liu Ma,2010,272,"University of California, Davis"
Richard Furuta,1988,56,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Catherine Plaisant,1988,56,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Ben Shneiderman,1988,56,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Tamara Munzner,1996,119,"STANFORD UNIV,360 GATES BLDG,3B,STANFORD,CA 94305, USA"
Eric Hoffman,1996,119,Ipsilon Networks
kc claffy,1996,119,"San Diego Supercomputer Center, University of California, San Diego, CA"
Bill Fenner,1996,119,Xerox PARC
Gregory L. Schussman,2000,20,"Center for Image Processing and Integrated Computing (CIPIC), Department of Computer Science, University of California, Davis, CA"
Kwan-Liu Ma,2000,20,"Center for Image Processing and Integrated Computing (CIPIC), Department of Computer Science, University of California, Davis, CA"
David P. Schissel,2000,20,"General Atomics, 3550 General Atomics Court, San Diego, CA"
Todd Evans,2000,20,"General Atomics, 3550 General Atomics Court, San Diego, CA"
Philip Fei Wu,2007,18,"University of Maryland, College Park, MD"
Jenny Preece,2007,18,"University of Maryland, College Park, MD"
Ben Shneiderman,2007,18,"University of Maryland, College Park, MD"
Paul T. Jaeger,2007,18,"University of Maryland, College Park, MD"
Yan Qu,2007,18,"University of Maryland, College Park, MD"
Nina Amenta,1995,61,"The Geometry Center, 1300 South Second Street, Minneapolis, MN"
Stuart Levy,1995,61,"The Geometry Center, 1300 South Second Street, Minneapolis, MN"
Tamara Munzner,1995,61,"The Geometry Center, 1300 South Second Street, Minneapolis, MN"
Mark Phillips,1995,61,"The Geometry Center, 1300 South Second Street, Minneapolis, MN"
Panpan Xu,2013,153,Hong Kong University of Science and Technology
Yingcai Wu,2013,153,Microsoft Research Asia
Enxun Wei,2013,153,Shanghai Jiao Tong University
Tai-Quan Peng,2013,153,Nanyang Technological University
Shixia Liu,2013,153,Microsoft Research Asia
Jonathan J H Zhu,2013,153,City University of Hong Kong
Huamin Qu,2013,153,Hong Kong University of Science and Technology
Christopher Williamson,1992,429,"University of Maryland, College Park, MD"
Ben Shneiderman,1992,429,"University of Maryland, College Park, MD"
Soon Tee Teoh,2005,7,"Department of Computer Science, San Jose State University"
Kwan-Liu Ma,2005,7,"Department of Computer Science, University of California, Davis"
Daniel Ostroff,1988,41,"The Museum of Jewish Heritage, 342 Madison Avenue, New York, New York 10173."
Ben Shneiderman,1988,41,Author to whom correspondence should be addressed.
Kwan-Liu Ma,2002,42,University of California at Davis
Greg Schussman,2002,42,University of California at Davis
Brett Wilson,2002,42,University of California at Davis
Kwok Ko,2002,42,Stanford Linear Accelerator Center
Ji Qiang,2002,42,Lawrence Berkeley National Laboratory
robert d ryne,2002,42,Lawrence Berkeley National Laboratory
Gouthami Chintalapani,2004,53,"University of Maryland, College Park"
Catherine Plaisant,2004,53,"University of Maryland, College Park"
Ben Shneiderman,2004,53,"University of Maryland, College Park"
Gregory L. Schussman,2004,34,Stanford Linear Accelerator Center
Kwan-Liu Ma,2004,34,University of California at Davis
Takayuki Itoh,2009,114,"Ochanomizu University, Japan"
Chris Muelder,2009,114,"University of California, Davis, USA"
Kwan-Liu Ma,2009,114,"University of California, Davis, USA"
Jun Sese,2009,114,"Ochanomizu University, Japan"
Ben Shneiderman,2006,2,University of Maryland
Anne Rose,1995,61,"Human Computer Interaction Laboratory, Center for Automation Research, University of Maryland, College Park, MD"
Ben Shneiderman,1995,61,"Department of Computer Science & Institute for System Research, University of Maryland, College Park, MD"
Catherine Plaisant,1995,61,"Human Computer Interaction Laboratory, Center for Automation Research, University of Maryland, College Park, MD"
Harry Hochheiser,2011,6,University of Pittsburgh
Ben Shneiderman,2011,6,University of Maryland
Jiafa Qin,2001,1,"Center for Visual Computing and Department of Computer Science, State University of New York at Stony Brook, Stony Brook, NY"
Ming Wan,2001,1,"Center for Visual Computing and Department of Computer Science, State University of New York at Stony Brook, Stony Brook, NY"
Huamin Qu,2001,1,"Center for Visual Computing and Department of Computer Science, State University of New York at Stony Brook, Stony Brook, NY"
Arie Kaufman,2001,1,"Center for Visual Computing and Department of Computer Science, State University of New York at Stony Brook, Stony Brook, NY"
Zachary Pousman,2006,503,"Georgia Institute of Technology, Atlanta, GA"
John Stasko,2006,503,"Georgia Institute of Technology, Atlanta, GA"
Cody Dunne,2013,235,"University of Maryland, College Park, Maryland, USA"
Ben Shneiderman,2013,235,"University of Maryland, College Park, Maryland, USA"
Soon Tee Teoh,2003,89,"University of California, Davis"
Kwan-Liu Ma,2003,89,"University of California, Davis"
Zachary Pousman,2004,57,"College of Computing & GVU Center,Georgia Institute of Technology,Atlanta,USA"
Giovanni Iachello,2004,57,"College of Computing & GVU Center,Georgia Institute of Technology,Atlanta,USA"
Rachel Fithian,2004,57,"College of Computing & GVU Center,Georgia Institute of Technology,Atlanta,USA"
Jehan Moghazy,2004,57,"College of Computing & GVU Center,Georgia Institute of Technology,Atlanta,USA"
John Stasko,2004,57,"College of Computing & GVU Center,Georgia Institute of Technology,Atlanta,USA"
T. J. Jankun-Kelly,2000,72,"Computer Science Department, Visualization and Graphics Research Group. Center for Image Processing and Integrated Computing, University of California, Davis, CA"
Kwan-Liu Ma,2000,72,"Computer Science Department, Visualization and Graphics Research Group. Center for Image Processing and Integrated Computing, University of California, Davis, CA"
Lu Lu,2014,14,"Hong Kong University of Science and Technology, Hong Kong"
Nan Cao,2014,14,"IBM Research, China"
Siyuan Liu,2014,14,"Heinz College, Carnegie Mellon University, Pittsburgh, PA"
Lionel M. Ni,2014,14,"Hong Kong University of Science and Technology, Hong Kong"
Xiaoru Yuan,2014,14,"Peking University, Beijing"
Huamin Qu,2014,14,"Hong Kong University of Science and Technology, Hong Kong"
Ben Shneiderman,1992,44,"University of Maryland, College Park, MD"
Christopher Williamson,1992,44,"University of Maryland, College Park, MD"
Christopher Ahlberg,1992,44,"University of Maryland, College Park, MD"
Shigeru Muraki,2003,63,"AIST, Japan"
Eric. B. Lum,2003,63,"University of California, Davis"
Kwan-Liu Ma,2003,63,"University of California, Davis"
Masato Ogata,2003,63,"Mitsubishi Precision, Co., Ltd., Japan"
Xuezhen Liu,2003,63,"Mitsubishi Precision, Co., Ltd., Japan"
Richard Furuta,1989,82,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Catherine Plaisant,1989,82,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Ben Shneiderman,1989,82,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Christoph Csallner,2003,30,"College of Computing, GVU Center, Georgia Institute of Technology, Atlanta, GA"
Marcus Handte,2003,30,"College of Computing, GVU Center, Georgia Institute of Technology, Atlanta, GA"
Othmar Lehmann,2003,30,"College of Computing, GVU Center, Georgia Institute of Technology, Atlanta, GA"
John Stasko,2003,30,"College of Computing, GVU Center, Georgia Institute of Technology, Atlanta, GA"
Yingcai Wu,2007,124,Hong Kong University of Science and Technology
Huamin Qu,2007,124,Hong Kong University of Science and Technology
Kwan-Liu Ma,2008,9,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Chaoli Wang,2008,9,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Ben Shneiderman,1984,405,"University of Maryland, College Park"
Catherine Plaisant,1995,24,"Human-Computer Interaction Laboratory, Center for Automation Research, University of Maryland, College Park, MD"
Ben Shneiderman,1995,24,"Human-Computer Interaction Laboratory, Center for Automation Research and Department of Computer Science, University of Maryland, College Park, MD"
Marc A. Smith,2009,7,"Telligent Systems, Belmont, CA, USA"
Ben Shneiderman,2009,7,"University of Maryland, College Park, MD, USA"
Natasa Milic-Frayling,2009,7,"Microsoft, Cambridge, England UK"
Eduarda Mendes Rodrigues,2009,7,"Microsoft, Cambridge, England UK"
Vladimir Barash,2009,7,"Cornell University, Ithaca, NY, USA"
Cody Dunne,2009,7,"University of Maryland, College Park, MD, USA"
Tony Capone,2009,7,"Microsoft, Redmond, WA, USA"
Adam Perer,2009,7,"University of Maryland, College Park, MD, USA"
Eric Gleave,2009,7,"University of Washington, Seattle, WA, USA"
Manuel Freire,2010,99,"University of Maryland, College Park, MD, USA"
Catherine Plaisant,2010,99,"University of Maryland, College Park, MD, USA"
Ben Shneiderman,2010,99,"University of Maryland, College Park, MD, USA"
Jen Golbeck,2010,99,"University of Maryland, College Park, MD, USA"
Sheng-Jie Luo,2012,63,"National Taiwan University, Taipei"
Chun-Liang Liu,2012,63,"National Taiwan University, Taipei"
Bing-Yu Chen,2012,63,"National Taiwan University, Taipei"
Kwan-Liu Ma,2012,63,"University of California at Davis, Davis"
Shigeru Muraki,2001,89,"The National Institute of Advanced Industrial Science and Technology (AIST), Japan"
Masato Ogata,2001,89,"Mitsubishi Precision Co., Ltd., Japan"
Kwan-Liu Ma,2001,89,"University of California, Davis"
Kenji Koshizuka,2001,89,"Mitsubishi Precision Co., Ltd., Japan"
Kagenori Kajihara,2001,89,"Mitsubishi Precision Co., Ltd., Japan"
Xuezhen Liu,2001,89,"Mitsubishi Precision Co., Ltd., Japan"
Yasutada Nagano,2001,89,"Mitsubishi Precision Co., Ltd., Japan"
Kazuro Shimokawa,2001,89,"The National Institute of Advanced Industrial Science and Technology (AIST), Japan"
Ben Shneiderman,1976,80,"Indiana Univ., Bloomington"
Amnon Shabo,1997,31,"Technion Israel Inst Technol, Dept Educ Sci & Technol, IL-32000 Haifa, Israel"
Mark Guzdial,1997,31,"Georgia Inst Technol, Graph Visualizat & Usabil Ctr, Coll Comp, Atlanta, GA 30332 USA"
John Stasko,1997,31,"Georgia Inst Technol, Graph Visualizat & Usabil Ctr, Coll Comp, Atlanta, GA 30332 USA"
Eric B. Lum,2002,123,"University of California, Davis"
Kwan-Liu Ma,2002,123,"University of California, Davis"
Ben Shneiderman,2006,65,"Univ Maryland, Dept Comp Sci, Human Comp Interact Lab, College Pk, MD 20742 USA"
Benjamin B. Bederson,2006,65,"Univeristy of Maryland, College Park, MD 20742, USA"
